,Datetime,Position,price,mult
455,2016-06-21 09:40:00,3,2103.513,10
456,2016-06-21 09:50:00,3,2096.539,10
457,2016-07-05 09:40:00,-3,2317.069,10
458,2016-07-05 09:50:00,-3,2316.8159,10
459,2016-07-08 15:00:00,3,2424.43,10
460,2016-07-11 01:00:00,3,2421.489,10
461,2016-07-11 09:30:00,-3,2365.783,10
462,2016-07-11 09:40:00,-3,2364.1329,10
463,2016-07-12 10:00:00,3,2465.739,10
464,2016-07-12 10:10:00,3,2475.665,10
465,2016-07-18 09:10:00,-3,2403.733,10
466,2016-07-18 09:20:00,-3,2414.253,10
467,2016-07-21 14:40:00,3,2392.695,10
468,2016-07-21 14:50:00,3,2392.618,10
469,2016-08-04 11:30:00,-3,2403.282,10
470,2016-08-04 13:30:00,-2,2404.333,10
471,2016-08-05 09:10:00,2,2482.501,10
472,2016-08-05 09:20:00,2,2489.219,10
473,2016-08-15 09:10:00,-2,2489.746,10
474,2016-08-15 09:20:00,-3,2488.641,10
475,2016-08-16 09:10:00,3,2560.846,10
476,2016-08-16 09:20:00,3,2562.1329,10
477,2016-08-25 10:40:00,-3,2551.189,10
478,2016-08-25 10:50:00,-3,2534.526,10
479,2016-09-19 14:00:00,3,2247.195,10
480,2016-09-19 14:40:00,3,2247.518,10
481,2016-09-27 10:00:00,-3,2281.996,10
482,2016-09-27 10:10:00,-4,2265.938,10
483,2016-09-29 09:30:00,4,2323.841,10
484,2016-09-29 10:00:00,4,2330.286,10
485,2016-10-24 09:10:00,-4,2434.193,10
486,2016-10-24 09:30:00,-4,2432.217,10
487,2016-10-25 03:00:00,4,2524.9699,10
488,2016-10-25 09:10:00,4,2538.959,10
489,2016-11-14 13:50:00,-4,2931.685,10
490,2016-11-14 14:00:00,-2,2955.416,10
491,2016-11-22 09:30:00,2,2865.075,10
492,2016-11-22 09:40:00,2,2869.171,10
493,2016-11-29 15:00:00,-2,3042.57,10
494,2016-11-30 01:00:00,-2,3043.623,10
495,2016-12-01 13:30:00,2,3124.079,10
496,2016-12-01 13:40:00,2,3152.467,10
497,2016-12-02 14:30:00,-2,3023.301,10
498,2016-12-07 09:20:00,2,3339.788,10
499,2016-12-09 09:50:00,-2,3233.107,10
500,2016-12-12 09:40:00,1,3493.099,10
501,2016-12-14 11:10:00,-1,3345.236,10
502,2016-12-14 11:20:00,-1,3354.875,10
503,2017-01-04 14:50:00,1,2945.031,10
504,2017-01-09 11:10:00,2,2971.0690000000004,10
505,2017-02-03 09:10:00,-2,3234.561,10
506,2017-02-03 09:20:00,-2,3242.6,10
507,2017-02-10 13:50:00,2,3298.739,10
508,2017-02-10 14:00:00,2,3317.703,10
509,2017-02-24 09:10:00,-2,3390.313,10
510,2017-02-24 09:20:00,-2,3392.321,10
511,2017-02-27 09:30:00,2,3561.289,10
512,2017-02-27 09:40:00,2,3567.514,10
513,2017-02-28 14:50:00,-2,3473.951,10
514,2017-02-28 15:00:00,-2,3453.297,10
515,2017-03-13 13:40:00,2,3459.285,10
516,2017-03-13 13:50:00,2,3449.89,10
517,2017-03-21 09:20:00,-2,3394.3740000000007,10
518,2017-03-21 09:30:00,-2,3389.8520000000008,10
519,2017-03-29 15:00:00,2,3220.136,10
520,2017-03-31 09:00:00,2,3244.751,10
521,2017-04-07 01:30:00,-2,3108.561,10
522,2017-04-07 02:10:00,-2,3106.851,10
523,2017-04-26 13:50:00,2,3023.4770000000008,10
524,2017-04-28 15:00:00,2,3095.118,10
525,2017-05-04 09:00:00,-2,3018.417,10
526,2017-05-04 09:10:00,-2,2992.5479,10
527,2017-05-17 09:30:00,2,3046.165,10
528,2017-05-17 10:00:00,2,3048.368,10
529,2017-05-31 10:30:00,-2,3130.88,10
530,2017-05-31 11:00:00,-2,3141.5170000000007,10
531,2017-06-14 11:20:00,2,2960.007,10
532,2017-06-14 11:30:00,2,2979.402,10
533,2017-07-07 10:00:00,-2,3319.347,10
534,2017-07-11 09:10:00,3,3448.916,10
535,2017-07-14 11:00:00,-3,3491.331,10
536,2017-07-17 09:30:00,2,3599.695,10
537,2017-07-20 13:40:00,-2,3524.555,10
538,2017-07-20 13:50:00,-2,3513.117,10
539,2017-07-31 09:10:00,2,3618.605,10
540,2017-07-31 09:20:00,2,3614.989,10
541,2017-08-15 11:10:00,-2,3736.829,10
542,2017-08-21 09:30:00,2,3953.59,10
543,2017-08-23 02:40:00,-2,3815.409,10
544,2017-08-23 02:50:00,-2,3812.883,10
545,2017-08-25 10:00:00,2,3965.719,10
546,2017-08-25 10:10:00,2,3972.05,10
547,2017-09-14 14:00:00,-2,3849.077,10
548,2017-09-14 14:10:00,-2,3848.479,10
549,2017-10-09 09:00:00,2,3734.721,10
550,2017-10-09 13:30:00,-2,3666.652,10
551,2017-10-12 14:40:00,2,3619.368,10
552,2017-10-12 14:50:00,2,3642.063,10
553,2017-10-23 02:30:00,-2,3642.874,10
554,2017-10-23 02:40:00,-2,3648.468,10
555,2017-11-02 03:00:00,2,3645.838,10
556,2017-11-02 09:00:00,2,3664.808,10
557,2017-11-15 03:00:00,-2,3769.973,10
558,2017-11-15 09:00:00,-2,3757.05,10
559,2017-11-21 13:40:00,2,3826.216,10
560,2017-11-27 10:40:00,2,3927.465,10
561,2017-12-06 10:50:00,-2,3982.533,10
